rank,ligand,best_score,n_poses,all_scores
1,EGFR-TM-014,-9.673,5,-9.67;-9.52;-9.38;-9.13;-8.95
2,EGFR-TM-013,-9.209,5,-9.21;-8.47;-8.30;-8.06;-7.84
3,EGFRm-002,-9.132,5,-9.13;-8.94;-8.86;-8.79;-8.74
4,EGFR-TM-012,-8.816,5,-8.82;-8.80;-8.75;-8.70;-8.69
5,EGFRm-009,-8.671,5,-8.67;-8.56;-8.06;-8.04;-8.00
