time_ps,lig_rmsd_A,com_drift_A
0.0,1.826,1.293
50.0,1.787,0.856
100.0,1.532,1.328
150.0,2.432,1.996
200.0,1.525,1.288
250.0,2.425,1.904
300.0,2.324,1.632
350.0,1.702,1.017
400.0,2.093,1.474
450.0,1.457,1.001
500.0,1.812,1.376
550.0,2.217,2.001
600.0,1.627,0.918
650.0,1.825,1.493
700.0,1.636,1.194
750.0,1.911,1.208
800.0,2.280,1.728
850.0,1.702,1.200
900.0,2.252,1.832
950.0,1.948,1.300
1000.0,1.842,1.468
1050.0,2.004,1.644
1100.0,2.345,2.034
1150.0,2.039,1.688
1200.0,2.684,2.301
1250.0,2.755,2.660
1300.0,1.980,1.747
1350.0,1.910,1.655
1400.0,2.187,1.872
1450.0,2.328,2.172
1500.0,2.555,2.127
1550.0,2.256,1.500
1600.0,2.015,1.718
1650.0,2.697,2.248
1700.0,2.282,1.980
1750.0,1.915,1.431
1800.0,2.359,2.124
1850.0,1.787,1.475
1900.0,1.940,1.533
1950.0,2.170,1.975
